नाम-संख्या	नाम	प्रातिपदिकं	अन्त्यवर्णः	लिङ्गम्
१२२	वरारोहः	वरारोह	अ	पुं
१23	महातपस्	महातपस्	स्	पुं
१२४	सर्वगः	सर्वग	अ	पुं
१२५	सर्वविद्भानुः	सर्वविद्भानु	उ	पुं
१२६	विष्वक्सेनः	विष्वक्सेन	अ	पुं
१२७	जनार्दनः	जनार्दन	अ	पुं
१२८	वेदः	वेद	अ	पुं
१२९	वेदविद्	वेदविद्	द्	पुं
१३०	अव्यङ्गः	अव्यङ्ग	अ	पुं
१३१	वेदाङ्गः	वेदाङ्ग	अ	पुं
१३२	वेदवित्	वेदवित्	द्	पुं
१३३	कविः	कवि	इ	पुं
१३४	लोकाध्यक्षः	लोकध्यक्ष	अ	पुं
१३५	सुराध्यक्षः	सुराध्यक्ष	अ	पुं
१३६	धर्माध्यक्षः	धर्माध्यक्ष	अ	पुं
१३७	कृताकृतः	कृताकृत	अ	पुं
१३८	चतुरात्मा	चतुरात्मन्	न्	पुं
१३९	चतुर्व्यूहः	चतुर्व्यूह	अ	पुं
१४०	चतुर्दंष्ट्रः	चतुर्दंष्ट्र	अ	पुं
१४१	चतुर्भुजः	चतुर्भुज	अ	पुं
१४२	भ्राजिष्णुः	भ्राजिष्णु	उ	पुं
१४३	भोजनम्	भोजन	अ	न
१४४	भोक्ता	भोक्तृ	ऋ	पुं
१४५	सहिष्णुः	सहिष्णु	उ	पुं
१४६	जगदादिजः	जगदादिज	अ	पुं
१४७	अनघः	अनघ	अ	पुं
१४८	विजयः	विजय	अ	पुं
१४९	जेता	जेतृ	ऋ	पुं
१५०	विश्वयोनिः	विश्वयोनि	इ	स्त्री
१५१	पुनर्वसुः	पुनर्वसु	उ	पुं
१५२	उपेन्द्रः	उपेन्द्र	अ	पुं
१५३	वामनः	वामन	अ	पुं
१५४	प्रांशुः	प्रांशु	उ	पुं
१५५	अमोघः	अमोघ	अ	पुं
१५६	शुचिः	शुचि	इ	पुं
१५७	ऊर्जितः	उर्जित	अ	पुं
१५८	अतीन्द्रः	अतीन्द्र	अ	पुं
१५९	संग्रहः	संग्रह	अ	पुं
१६०	सर्गः	सर्ग	अ	पुं
१६१	धृतात्मा	धृतात्मन्	न्	पुं
१६२	नियमः	नियम	अ	पुं
१६३	यमः	यम	अ	पुं
१६४	वेद्यः	वेद्य	अ	पुं
१६५	वैद्यः	वैद्य	अ	पुं
