नाम-संख्या	नाम	प्रातिपदिकं	अन्त्यवर्णः	लिङ्गम्
527	स्वाभाव्यः	स्वाभाव्य	अ	पुं
528	जितामित्रः	जितामित्र	अ	पुं
529	प्रमोदनः	प्रमोदन	अ	पुं
530	आनन्दः	आनन्द	अ	पुं
531	नन्दनः	नन्दन	अ	पुं
532	नन्दः	नन्द	अ	पुं
533	सत्यधर्मा	सत्यधर्मन्	न्	पुं
534	त्रिविक्रमः	त्रिविक्रम	अ	पुं
535	महर्षिः कपिलाचार्यः	महर्षिः कपिलाचार्य	अ	पुं
536	कृतज्ञः	कृतज्ञ	अ	पुं
537	मेदिनीपतिः	मेदिनीपति	इ	पुं
538	त्रिपदः	त्रिपद	अ	पुं
539	त्रिदशाध्यक्षः	त्रिदशाध्यक्ष	अ	पुं
540	महाशृङ्गः	महाशृङ्ग	अ	पुं
541	कृतान्तकृत्	कृतान्तकृत्	त्	पुं
542	महावराहः	महावराह	अ	पुं
543	गोविन्दः	गोविन्द	अ	पुं
544	सुषेणः	सुषेण	अ	पुं
545	कनकाङ्गदी	कनकाङ्गदिन्	न्	पुं
546	गुह्यः	गुह्य	अ	पुं
547	गभीरः	गभीर	अ	पुं
548	गहनः	गहन	अ	पुं
549	गुप्तः	गुप्त	अ	पुं
550	चक्रगदाधरः	चक्रगदाधर	अ	पुं
551	वेधस्	वेधस्	स्	पुं
552	स्वाङ्गः	स्वाङ्ग	अ	पुं
553	अजितः	अजित	अ	पुं
554	कृष्णः	कृष्ण	अ	पुं
555	दृढः	दृढ	अ	पुं
556	संकर्षणः	संकर्षण	अ	पुं
557	अच्युतः	अच्युत	अ	पुं
558	वरुणः	वरुण	अ	पुं
559	वारुणः	वारुण	अ	पुं
560	वृक्षः	वृक्ष	अ	पुं
561	पुष्कराक्षः	पुष्कराक्ष	अ	पुं
562	महामनस्	महामनस्	स्	पुं
563	भगवान्	भगवत्	त्	पुं
564	भगहा	भगहन्	न्	पुं
565	आनन्दी	आनन्दिन्	न्	पुं
566	वनमाली	वनमालिन्	न्	पुं
567	हलायुधः	हलायुध	अ	पुं
568	आदित्यः	आदित्य	अ	पुं
569	ज्योतिरादित्यः	ज्योतिरादित्य	अ	पुं
570	सहिष्णुः	सहिष्णु	उ	पुं
571	गतिसत्तमः	गतिसत्तम	अ	पुं
572	सुधन्वा	सुधन्वन्	न्	पुं
573	खण्डपरशुः	खण्डपरशु	उ	पुं
574	दारुणः	दारुण	अ	पुं
575	द्रविणप्रदः	द्रविणप्रद	अ	पुं
576	दिविस्पृक्	दिविस्पृश्	श्	पुं
577	सर्वदृग्व्यासः	सर्वदृग्व्यास	अ	पुं
578	वाचस्पतिः	वाचस्पति	इ	पुं
579	अयोनिजः	अयोनिज	अ	पुं
580	त्रिसामा	त्रिसामा	अ	पुं
581	सामगः	सामग	अ	पुं
582	साम	सामन्	न्	न
583	निर्वाणम्	निर्वाण	अ	न
584	भेषजम्	भेषज	अ	न
585	भिषक्	भिषज्	ज्	पुं
586	संन्यासकृत्	संन्यासकृत्	त्	पुं
587	शमः	शम	अ	पुं
588	शान्तः	शान्त	अ	पुं
589	निष्ठा	निष्ठा	आ	स्त्री
590	शान्तिः	शान्ति	इ	स्त्री
591	परायणम्	परायण	अ	न
592	शुभाङ्गः	शुभाङ्ग	अ	पुं
593	शान्तिदः	शान्तिद	अ	पुं
594	स्रष्टा	स्रष्टृ	ऋ	पुं
595	कुमुदः	कुमुद	अ	पुं
596	कुवलेशयः	कुवलेशय	अ	पुं
597	गोहितः	गोहित	अ	पुं
598	गोपतिः	गोपति	इ	पुं
599	गोप्ता	गोप्तृ	ऋ	पुं
600	वृषभाक्षः	वृषभाक्ष	अ	पुं
601	वृषप्रियः	वृषप्रिय	अ	पुं
602	अनिवर्ती	अनिवर्तिन्	न्	पुं
603	निवृत्तात्मा	निवृत्तात्मन्	न्	पुं
604	संक्षेप्तृ	संक्षेप्तृ	ऋ	पुं
605	क्षेमकृत्	क्षेमकृत्	त्	पुं
606	शिवः	शिव	अ	पुं
607	श्रीवत्सवक्षस्	श्रीवत्सवक्षस्	स्	पुं
608	श्रीवासः	श्रीवास	अ	पुं
609	श्रीपतिः	श्रीपति	इ	पुं
610	श्रीमतांवरः	श्रीमतांवर	अ	पुं
611	श्रीदः	श्रीद	अ	पुं
612	श्रीशः	श्रीश	अ	पुं
613	श्रीनिवासः	श्रीनिवास	अ	पुं
614	श्रीनिधिः	श्रीनिधि	इ	पुं
615	श्रीविभावनः	श्रीविभावन	अ	पुं
616	श्रीधरः	श्रीधर	अ	पुं
617	श्रीकरः	श्रीकर	अ	पुं
618	श्रेयः	श्रेयस्	स्	न
619	श्रीमान्	श्रीमत्	त्	पुं
620	लोकत्रयाश्रयः	लोकत्रयाश्रय	अ	पुं
621	स्वक्षः	स्वक्ष	अ	पुं
622	स्वङ्गः	स्वङ्ग	अ	पुं
623	शतानन्दः	शतानन्द	अ	पुं
624	नन्दिः	नन्दि	इ	पुं
625	ज्योतिर्गणेश्वरः	ज्योतिर्गणेश्वर	अ	पुं
626	विजितात्मा	विजितात्मन्	न्	पुं
627	अविधेयात्मा	अविधेयात्मन्	न्	पुं
628	सत्कीर्तिः	सत्कीर्ति	इ	पुं
629	छिन्नसंशयः	छिन्नसंशय	अ	पुं
630	उदीर्णः	उदीर्ण	अ	पुं
631	सर्वतश्चक्षुः	सर्वतश्चक्षुस्	स्	पुं
632	अनीशः	अनीश	अ	पुं
633	शाश्वतस्थिरः	शाश्वतस्थिर	अ	पुं
634	भूशयः	भूशय	अ	पुं
635	भूषणः	भूषण	अ	पुं
636	भूतिः	भूति	इ	स्त्री
637	विशोकः	विशोक	अ	पुं
638	शोकनाशनः	शोकनाशन	अ	पुं
639	अर्चिष्मान्	अर्चिष्मत्	त्	पुं
640	अर्चिष्मत्	अर्चिष्मत्	त्	पुं
641	कुम्भः	कुम्भ	अ	पुं
642	विशुद्धात्मा	विशुद्धात्मन्	न्	पुं
643	विशोधनः	विशोधन	अ	पुं
644	अनिरुद्धः	अनिरुद्ध	अ	पुं
645	अप्रतितरः	अप्रतितर	अ	पुं
646	प्रद्युम्नः	प्रद्युम्न	अ	पुं
647	अमितविक्रमः	अमितविक्रम	अ	पुं
648	कालनेमिनिहा	कालनेमिनिहन्	न्	पुं
649	वीरः	वीर	अ	पुं
650	शौरिः	शौरि	इ	पुं
651	शूरजनेश्वरः	शूरजनेश्वर	अ	पुं
652	त्रिलोकात्मा	त्रिलोकात्मन्	न्	पुं
653	त्रिलोकेशः	त्रिलोकेश	अ	पुं
654	केशवः	केशव	अ	पुं
655	केशिहा	केशिहन्	न्	पुं
656	हरिः	हरि	इ	पुं
657	कामदेवः	कामदेव	अ	पुं
658	कामपालः	कामपाल	अ	पुं
659	कामी	कामिन्	न्	पुं
660	कान्तः	कान्त	अ	पुं
661	कृतागमः	कृतागम	अ	पुं
662	अनिर्देश्यवपुः	अनिर्देश्यवपुस्	स्	पुं
663	विष्णुः	विष्णु	उ	पुं
664	वीरः	वीर	अ	पुं
665	अनन्तः	अनन्तः	अ	पुं
666	धनंजयः	धनंजय	अ	पुं
667	ब्रह्मण्यः	ब्रह्मण्य	अ	पुं
668	ब्रह्मकृत्	ब्रह्मकृत्	त्	पुं
669	ब्रह्मा	ब्रह्मन्	न्	पुं
670	ब्रह्म	ब्रह्मन्	न्	न
671	ब्रह्मविवर्धनः	ब्रह्मविवर्धन	अ	पुं
672	ब्रह्मवित्	ब्रह्मवित्	त्	पुं
673	ब्राह्मणः	ब्राह्मण	अ	पुं
674	ब्रह्मी	ब्रह्मिन्	न्	पुं
675	ब्रह्मज्ञः	ब्रह्मज्ञ	अ	पुं
676	ब्राह्मणप्रियः	ब्राह्मणप्रिय	अ	पुं
677	महाक्रमः	महाक्रम	अ	पुं
678	महाकर्मा	महाकर्मन्	न्	पुं
679	महातेजस्	महातेजस्	स्	पुं
680	महोरगः	महोरग	अ	पुं
681	महाक्रतुः	महाक्रतु	उ	पुं
682	महायज्वा	महायज्वन्	न्	पुं
683	महायज्ञः	महायज्ञ	अ	पुं
684	महाहविः	महाहविस्	स्	न
685	स्तव्यः	स्तव्य	अ	पुं
686	स्तवप्रियः	स्तवप्रिय	अ	पुं
687	स्तोत्रम्	स्तोत्र	अ	न
688	स्तुतिः	स्तुति	इ	स्त्री
689	स्तोता	स्तोतृ	ऋ	पुं
690	रणप्रियः	रणप्रिय	अ	पुं
691	पूर्णः	पूर्ण	अ	पुं
692	पूरयिता	पूरयितृ	ऋ	पुं
693	पुण्यः	पुण्य	अ	पुं
694	पुण्यकीर्तिः	पुण्यकीर्ति	इ	पुं
695	अनामयः	अनामय	अ	पुं
696	मनोजवः	मनोजव	अ	पुं
697	तीर्थकरः	तीर्थकर	अ	पुं
698	वसरेताः	वसरेतस्	स्	पुं
699	वसुप्रदः	वसुप्रद	अ	पुं
700	वसुप्रदः	वसुप्रद	अ	पुं
701	वासुदेवः	वासुदेव	अ	पुं
702	वसुः	वसु	उ	पुं
703	वसुमनस्	वसुमनस्	स्	पुं
704	हविः	हविस्	स्	न
705	सद्गतिः	सद्गति	इ	स्त्री
706	सत्कृतिः	सत्कृति	इ	स्त्री
707	सत्ता	सत्ता	आ	स्त्री
708	सद्भूतिः	सद्भूति	इ	स्त्री
709	सत्परायणः	सत्परायण	अ	पुं
710	शूरसेनः	शूरसेन	अ	पुं
711	यदुश्रेष्ठः	यदुश्रेष्ठ	अ	पुं
712	सन्निवासः	सन्निवास	अ	पुं
713	सुयामुनः	सुयामुन	अ	पुं
714	भूतावासः	भूतावास	अ	पुं
715	वासुदेवः	वासुदेव	अ	पुं
716	सर्वासुनिलयः	सर्वासुनिलय	अ	पुं
717	अनलः	अनल	अ	पुं
718	दर्पहा	दर्पहन्	न्	पुं
719	दर्पदः	दर्पद	अ	पुं
720	दृप्तः	दृप्त	अ	पुं
721	दुर्धरः	दुर्धर	अ	पुं
722	अथापराजितः	अथापराजित	अ	पुं
723	विश्वमूर्तिः	विश्वमूर्ति	इ	पुं
724	महामूर्तिः	महामूर्ति	इ	पुं
725	दीप्तमूर्तिः	दीप्तमूर्ति	इ	पुं
726	अमूर्तिमान्	अमूर्तिमान्	त्	पुं
727	अनेकमूर्तिः	अनेकमूर्ति	इ	पुं
728	अव्यक्तः	अव्यक्त	अ	पुं
729	शतमूर्तिः	शतमूर्ति	इ	पुं
730	शताननः	शतानन	अ	पुं
731	एकः	एक	अ	पुं
732	नैकः	नैक	अ	पुं
733	सवः	सव	अ	पुं
734	कः	क	अ	पुं
735	किम्	किम्	म्	न
736	यत्	यद्	द्	न
737	तत्	तद्	द्	न
738	पदम् अनुत्तमम्	पदम् अनुत्तमम्	अ	न
739	लोकबन्धुः	लोकबन्धु	उ	पुं
740	लोकनाथः	लोकनाथ	अ	पुं
741	माधवः	माधव	अ	पुं
742	भक्तवत्सलः	भक्तवत्सल	अ	पुं
743	सुवर्णवर्णः	सुवर्णवर्ण	अ	पुं
744	हेमाङ्गः	हेमाङ्ग	अ	पुं
745	वराङ्गः	वराङ्ग	अ	पुं
746	चन्दनाङ्गदी	चन्दनाङ्गदिन्	न्	पुं
747	वीरहा	वीरहन्	न्	पुं
748	विषमः	विषम	अ	पुं
749	शून्यः	शून्य	अ	पुं
750	घृताशीः	घृताशिस्	स्	पुं
751	अचलः	अचल	अ	पुं
752	चलः	चल	अ	पुं
753	अमानी	अमानिन्	न्	पुं
754	मानदः	मानद	अ	पुं
755	मान्यः	मान्य	अ	पुं
756	लोकस्वामी	लोकस्वामिन्	न्	पुं
757	त्रिलोकधृक्	त्रिलोकधृज्	ज्	पुं
758	सुमेधाः	सुमेधस्	स्	पुं
759	मेधजः	मेधज	अ	पुं
760	धन्यः	धन्य	अ	पुं
761	सत्यमेधस्	सत्यमेधस्	स्	पुं
762	धराधरः	धराधर	अ	पुं
763	तेजोवृषः	तेजोवृष	अ	पुं
764	द्युतिधरः	द्युतिधर	अ	पुं
765	सर्वशस्त्रभृतां वरः	सर्वशस्त्रभृतां वर	अ	पुं
766	प्रग्रहः	प्रग्रह	अ	पुं
767	निग्रहः	निग्रह	अ	पुं
768	व्यग्रः	व्यग्र	अ	पुं
769	नैकशृङ्गः	नैकशृङ्ग	अ	पुं
770	गदाग्रजः	गदाग्रज	अ	पुं
771	चतुर्मूर्तिः	चतुर्मूर्ति	इ	पुं
772	चतुर्बाहुः	चतुर्बाहु	उ	पुं
773	चतुर्व्यूहः	चतुर्व्यूह	अ	पुं
774	चतुर्गतिः	चतुर्गति	इ	पुं
775	चतुरात्मा	चतुरात्मन्	न्	पुं
776	चतुर्भावः	चतुर्भाव	अ	पुं
777	चतुर्वेदवित्	चतुर्वेदविद्	द्	पुं
778	एकपात्	एकपाद्	द्	पुं
779	समावर्तः	समावर्त	अ	पुं
780	अनिवृत्तात्मा	अनिवृत्तात्मन्	न्	पुं
781	दुर्जयः	दुर्जय	अ	पुं
782	दुरतिक्रमः	दुरतिक्रम	अ	पुं
783	दुर्लभः	दुर्लभ	अ	पुं
784	दुर्गमः	दुर्गम	अ	पुं
785	दुर्गः	दुर्ग	अ	पुं
786	दुरावासः	दुरावास	अ	पुं
787	दुरारिहा	दुरारिहन्	न्	पुं
788	शुभाङ्गः	शुभाङ्ग	अ	पुं
789	लोकसारङ्गः	लोकसारङ्ग	अ	पुं
790	सुतन्तुः	सुतन्तु	उ	पुं
791	तन्तुवर्धनः	तन्तुवर्धन	अ	पुं
792	इन्द्रकर्मा	इन्द्रकर्मन्	न्	पुं
793	महाकर्मा	महाकर्मन्	न्	पुं
794	कृतकर्मा	कृतकर्मन्	न्	पुं
795	कृतागमः	कृतागम	अ	पुं
796	उद्भवः	उद्भव	अ	पुं
797	सुन्दरः	सुन्दर	अ	पुं
798	सुन्दः	सुन्द	अ	पुं
799	रत्ननाभः	रत्ननाभ	अ	पुं
800	सुलोचनः	सुलोचन	अ	पुं
801	अर्कः	अर्क	अ	पुं
802	वाजसनः	वाजसन	अ	पुं
803	शृङ्गी	शृङ्गिन्	न्	पुं
804	जयन्तः	जयन्त	अ	पुं
805	सर्वविजयी	सर्वविजयिन्	न्	पुं
806	सुवर्णबिन्दुः	सुवर्णबिन्दु	उ	पुं
807	अक्षोभ्यः	अक्षोभ्य	अ	पुं
808	सर्ववागीश्वरेश्वरः	सर्ववागीश्वरेश्वर	अ	पुं
809	महाह्रदः	महाह्रद	अ	पुं
810	महागर्तः	महागर्त	अ	पुं
811	महाभूतः	महाभूत	अ	पुं
812	महानिधिः	महानिधि	इ	पुं
813	कुमुदः	कुमुद	अ	पुं
814	कुन्दरः	कुन्दर	अ	पुं
815	कुन्दः	कुन्द	अ	पुं
816	पर्जन्यः	पर्जन्य	अ	पुं
817	पावनः	पावन	अ	पुं
818	अनिलः	अनिल	अ	पुं
819	अमृताशः	अमृताश	अ	पुं
820	अमृतवपुः	अमृतवपुस्	स्	पुं
821	सर्वज्ञः	सर्वज्ञ	अ	पुं
822	सर्वतोमुखः	सर्वतोमुख	अ	पुं
823	सुलभः	सुलभ	अ	पुं
824	सुव्रतः	सुव्रत	अ	पुं
825	सिद्धः	सिद्ध	अ	पुं
826	शत्रुजित्	शत्रुजित्	त्	पुं
827	शत्रुतापनः	शत्रुतापन	अ	पुं
828	न्यग्रोधः	न्यग्रोध	अ	पुं
829	उदुम्बरः	उदुम्बर	अ	पुं
830	अश्वत्थः	अश्वत्थ	अ	पुं
831	चाणूरान्ध्रनिषूदनः	चाणूरान्ध्रनिषूदन	अ	पुं
832	सहस्रार्चिः	सहस्रार्चिस्	स्	पुं
833	सप्तजिह्वा	सप्तजिह्व	अ	पुं
834	सप्तैधस्	सप्तैधस्	स्	पुं
835	सप्तवाहनः	सप्तवाहन	अ	पुं
836	अमूर्तिः	अमूर्ति	इ	पुं
837	अनघः	अनघ	अ	पुं
838	अचिन्त्यः	अचिन्त्य	अ	पुं
839	भयकृत्	भयकृत्	त्	पुं
840	भयनाशनः	भयनाशन	अ	पुं
841	अणुः	अणु	उ	पुं
842	बृहत्	बृहत्	त्	न
843	कृशः	कृश	अ	पुं
844	स्थूलः	स्थूल	अ	पुं
845	गुणभृत्	गुणभृत्	त्	पुं
846	निर्गुणः	निर्गुण	अ	पुं
847	महान्	महत्	त्	पुं
848	अधृतः	अधृत	अ	पुं
849	स्वधृतः	स्वधृत	अ	पुं
850	स्वास्थ्यः	स्वास्थ्य	अ	पुं
851	प्राग्वंशः	प्राग्वंश	अ	पुं
852	वंशवर्धनः	वंशवर्धन	अ	पुं
853	भारभृत्	भारभृत्	त्	पुं
854	कथितः	कथित	अ	पुं
855	योगी	योगिन्	न्	पुं
856	योगीशः	योगीश	अ	पुं
857	सर्वकामदः	सर्वकामद	अ	पुं
858	आश्रमः	आश्रम	अ	पुं
859	श्रमणः	श्रमण	अ	पुं
860	क्षामः	क्षाम	अ	पुं
861	सुपर्णः	सुपर्ण	अ	पुं
862	वायुवाहनः	वायुवाहन	अ	पुं
863	धनुर्धरः	धनुर्धर	अ	पुं
864	धनुर्वेदः	धनुर्वेद	अ	पुं
865	दण्डः	दण्ड	अ	पुं
866	दमयिता	दमयितृ	ऋ	पुं
867	दमः	दम	अ	पुं
868	अपराजितः	अपराजित	अ	पुं
869	सर्वसहः	सर्वसह	अ	पुं
870	नियन्ता	नियन्तृ	ऋ	पुं
871	अनियमः	अनियम	अ	पुं
872	अयमः	अयम	अ	पुं
873	सत्त्ववान्	सत्त्ववत्	त्	पुं
874	सात्त्विकः	सात्त्विक	अ	पुं
875	सत्यः	सत्य	अ	पुं
876	सत्यधर्मपरायणः	सत्यधर्मपरायण	अ	पुं
877	अभिप्रायः	अभिप्राय	अ	पुं
878	प्रियार्हः	प्रियार्ह	अ	पुं
879	अर्हः	अर्ह	अ	पुं
880	प्रियकृत्	प्रियकृत्	त्	पुं
881	प्रीतिवर्धनः	प्रीतिवर्धन	अ	पुं
882	विहायसगतिः	विहायसगति	इ	पुं
883	ज्योतिः	ज्योतिस्	स्	न
884	सुरुचिः	सुरुचि	इ	पुं
885	हुतभुक्	हुतभुज्	ज्	पुं
886	विभुः	विभु	उ	पुं
887	रविः	रवि	इ	पुं
888	विरोचनः	विरोचन	अ	पुं
889	सूर्यः	सूर्य	अ	पुं
890	सविता	सवितृ	ऋ	पुं
891	रविलोचनः	रविलोचन	अ	पुं
892	अनन्तः	अनन्तः	अ	पुं
893	हुतभुक्	हुतभुज्	ज्	पुं
894	भोक्तृ	भोक्तृ	ऋ	पुं
895	सुखदः	सुखद	अ	पुं
896	नैकजः	नैकज	अ	पुं
897	अग्रजः	अग्रज	अ	पुं
898	अनिर्विण्णः	अनिर्विण्ण	अ	पुं
899	सदामर्षी	सदामर्षिन्	न्	पुं
900	लोकाधिष्ठानम्	लोकाधिष्ठान	अ	न
901	अद्भुतः	अद्भुत	अ	पुं
902	सनात्	सनात्	त्	पुं
903	सनातनतमः	सनातनतम	अ	पुं
904	कपिलः	कपिल	अ	पुं
905	कपिः	कपि	इ	पुं
906	अव्ययः	अव्यय	अ	पुं
907	स्वस्तिदः	स्वस्तिद	अ	पुं
908	स्वस्तिकृत्	स्वस्तिकृत्	त्	पुं
909	स्वस्ति	स्वस्ति	इ	न
910	स्वस्तिभुक्	स्वस्तिभुज्	ज्	न
911	स्वस्तिदक्षिणः	स्वस्तिदक्षिण	अ	पुं
912	अरौद्रः	अरौद्र	अ	पुं
913	कुण्डली	कुण्डलिन्	न्	पुं
914	चक्री	चक्रिन्	न्	पुं
915	विक्रमी	विक्रमिन्	न्	पुं
916	ऊर्जितशासनः	ऊर्जितशासन	अ	पुं
917	शब्दातिगः	शब्दातिग	अ	पुं
918	शब्दसहः	शब्दसह	अ	पुं
919	शिशिरः	शिशिर	अ	पुं
920	शर्वरीकरः	शर्वरीकर	अ	पुं
921	अक्रूरः	अक्रूर	अ	पुं
922	पेशलः	पेशल	अ	पुं
923	दक्षः	दक्ष	अ	पुं
924	दक्षिणः	दक्षिण	अ	पुं
925	क्षमिणांवरः	क्षमिणांवर	अ	पुं
926	विद्वत्तमः	विद्वत्तम	अ	पुं
927	वीतभयः	वीतभय	अ	पुं
928	पुण्यश्रवणकीर्तनः	पुण्यश्रवणकीर्तन	अ	पुं
929	उत्तारणः	उत्तारण	अ	पुं
930	दुष्कृतिहा	दुष्कृतिहन्	न्	पुं
931	पुण्यः	पुण्य	अ	पुं
932	दुःस्वप्ननाशनः	दुःस्वप्ननाशन	अ	पुं
933	वीरहा	वीरहन्	न्	पुं
934	रक्षणः	रक्षण	अ	पुं
935	सन्तः	सत्	त्	पुं
936	जीवनः	जीवन	अ	पुं
937	पर्यवस्थितः	पर्यवस्थित	अ	पुं
938	अनन्तरूपः	अनन्तरूप	अ	पुं
939	अनन्तश्रीः	अनन्तश्री	ई	स्त्री
940	जितमन्युः	जितमन्यु	उ	पुं
941	भयापहः	भयापह	अ	पुं
942	चतुरश्रः	चतुरश्र	अ	पुं
943	गभीरात्मा	गभीरात्मन्	न्	पुं
944	विदिशः	विदिश	अ	पुं
945	व्यादिशः	व्यादिश	अ	पुं
946	दिशः	दिश	अ	पुं
947	अनादिः	अनादि	इ	पुं
948	भूर्भुवः	भूर्भुवस्	स्	पुं
949	लक्ष्मीः	लक्ष्मी	ई	स्त्री
950	सुवीरः	सुवीर	अ	पुं
951	रुचिराङ्गदः	रुचिराङ्गद	अ	पुं
952	जननः	जनन	अ	पुं
953	जनजन्मादिः	जनजन्मादि	इ	पुं
954	भीमः	भीम	अ	पुं
955	भीमपराक्रमः	भीमपराक्रम	अ	पुं
956	आधारनिलयः	आधारनिलय	अ	पुं
957	अधाता	अधातृ	ऋ	पुं
958	पुष्पहासः	पुष्पहास	अ	पुं
959	प्रजागरः	प्रजागर	अ	पुं
960	ऊर्ध्वगः	ऊर्ध्वग	अ	पुं
961	सत्पथाचारः	सत्पथाचार	अ	पुं
962	प्राणदः	प्राणद	अ	पुं
963	प्रणवः	प्रणव	अ	पुं
964	पणवः	पणव	अ	पुं
965	प्रमाणम्	प्रमाण	अ	न
966	प्राणनिलयः	प्राणनिलय	अ	पुं
967	प्राणभृत्	प्राणभृत्	त्	पुं
968	प्राणजीवनः	प्राणजीवन	अ	पुं
969	तत्त्वम्	तत्त्व	अ	न
970	तत्त्ववित्	तत्त्वविद्	द्	पुं
971	एकात्मा	एकात्मन्	न्	पुं
972	जन्ममृत्युजरातिगः	जन्ममृत्युजरातिग	अ	पुं
973	भूर्भुवःस्वस्तरुः	भूर्भुवःस्वस्तरु	उ	पुं
974	तारः	तार	अ	पुं
975	सविता	सवितृ	ऋ	पुं
976	प्रपितामहः	प्रपितामह	अ	पुं
977	यज्ञः	यज्ञ	अ	पुं
978	यज्ञपतिः	यज्ञपति	इ	पुं
979	यज्वा	यज्वन्	न्	पुं
980	यज्ञाङ्गः	यज्ञाङ्ग	अ	पुं
981	यज्ञवाहनः	यज्ञवाहन	अ	पुं
982	यज्ञभृत्	यज्ञभृत्	त्	पुं
983	यज्ञकृत्	यज्ञकृत्	त्	पुं
984	यज्ञी	यज्ञिन्	न्	पुं
985	यज्ञभुक्	यज्ञभुज्	ज्	पुं
986	यज्ञसाधनः	यज्ञसाधन	अ	पुं
987	यज्ञान्तकृत्	यज्ञान्तकृत्	त्	पुं
988	यज्ञगुह्यम्	यज्ञगुह्य	अ	न
989	अन्नम्	अन्न	अ	न
990	अन्नादः	अन्नाद	अ	पुं
991	आत्मयोनिः	आत्मयोनि	इ	पुं
992	स्वयञ्जातः	स्वयञ्जात	अ	पुं
993	वैखानः	वैखान	अ	पुं
994	सामगायनः	सामगायन	अ	पुं
995	देवकीनन्दनः	देवकीनन्दन	अ	पुं
996	स्रष्टा	स्रष्टृ	ऋ	पुं
997	क्षितीशः	क्षितीश	अ	पुं
998	पापनाशनः	पापनाशन	अ	पुं
999	शङ्खभृत्	शङ्खभृत्	त्	पुं
1000	नन्दकी	नन्दकिन्	न्	पुं
1001	चक्री	चक्रिन्	न्	पुं
1002	शार्ङ्गधन्वा	शार्ङ्गधन्वन्	न्	पुं
1003	गदाधरः	गदाधर	अ	पुं
1004	रथाङ्गपाणिः	रथाङ्गपाणि	इ	पुं
1005	अक्षोभ्यः	अक्षोभ्य	अ	पुं
1006	सर्वप्रहरणायुधः	सर्वप्रहरणायुध	अ	पुं
